Carimbo de data/hora,Desenvolver uma funcionalidade que não atende o que foi requisitado pelo cliente. (Building the wrong feature or product),Distribuição desordenada de tarefas. (Mismanaging the backlog),"Trabalhar em tarefas que já foram encerradas e deveriam esta corretas, gerando retrabalho. (Rework)","Desenvolvimento de códigos complexos, para solucionar coisas simples. (Unnecessarily complex solutions)","Sobrecarga de trabalho, estar envolvido em várias etapas do processo de desenvolvimento ao mesmo tempo. (Extraneous cognitive load)","Emocionalmente abalado, excesso de cobranças e conflitos, sejam pessoais ou do ambiente de trabalho. (Psychological distress)",Excesso de tempo ocioso e atribuição de tarefas multidisciplinares. (Waiting/multitasking),Má gestão do conhecimento. (Knowledge loss),"Falhas na comunicação, falta de diálogo e falta de entrosamento das pessoas ao se comunicarem.  (Ineffective communication)","10 - Adicione uma perda de produtividade que você acha relevante, mas não consta neste formulário.  ",11 - Em que estado você trabalha?
2020/08/10 5:24:02 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Nunca observei,Nunca observei,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/10 5:27:04 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Falta de interesse naquilo que se está fazendo,Pernambuco
2020/08/10 5:51:28 PM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Prazos muita pequenos para tarefas muito complexas,Pernambuco
2020/08/10 5:58:57 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/10 6:22:26 PM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50%dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/10 6:34:52 PM GMT-3,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/11 12:38:28 AM GMT-3,Observo raramente (10% ou 20% projetos que participei),Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Nunca observei,Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20%projetos que participei),,Pernambuco
2020/08/11 11:24:16 AM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20%projetos que participei),"Demora para configuração de ambiente, muitas vezes em sistemas legados não possuem versionamento adequado e o uso de tecnologias obsoletas que consomem mais tempo para configuração do que para a execução da tarefa",Paraíba
2020/08/11 1:38:42 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50%dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),Observo raramente (10% ou 20% projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",,Pernambuco
2020/08/11 1:46:31 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Atividades más descritas,Paraíba
2020/08/11 11:12:22 PM GMT-3,Observo raramente (10% ou 20% projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
